,store_name,store_id,display_extra_info,display_id,last_scanned_datetime,name,previous_post_scan_num_facings,max_slots,payoff
53,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-11-18 19:02:57+00:00,"Diet Coke Can, 16 fl oz",20.0,43.0,0.0
54,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-11-18 19:02:57+00:00,"Coca-Cola Zero Sugar Can, 16 fl oz",8.0,43.0,0.0
56,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-11-18 19:02:57+00:00,"Coca-Cola Can, 16 fl oz",4.0,43.0,6.070826306913998
57,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-11-18 19:02:57+00:00,"Sprite Can, 16 fl oz",2.0,43.0,0.0
527,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-11-17 21:41:07+00:00,"Diet Coke Can, 12 fl oz",4.0,43.0,10.132916340891322
528,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-11-17 21:41:07+00:00,"Coca-Cola Can, 16 fl oz",4.0,43.0,2.251759186864738
529,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-11-17 21:41:07+00:00,"Sprite Can, 16 fl oz",2.0,43.0,0.0
530,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-11-17 21:41:07+00:00,"Coca-Cola Zero Sugar Can, 16 fl oz",8.0,43.0,0.0
531,REAM'S STORE #04,d42cdb23-7cb1-441e-b0db-b8de31f1cf05,Self Checkout 4 (deli cooler),00111d37-65cf-4ced-8bc7-1c86fad2b0a8,2022-11-17 21:41:07+00:00,"Diet Coke Can, 16 fl oz",24.0,43.0,0.0
612,MACEYS SANTAQUIN,482dcebf-819c-40cc-b36f-2822f0a13589,Self checkout 3,ffc22e91-825e-4921-a90e-30d15b7af37f,2022-11-17 18:07:04+00:00,"Sprite Bottle, 20 fl oz",3.0,18.0,0.0
613,MACEYS SANTAQUIN,482dcebf-819c-40cc-b36f-2822f0a13589,Self checkout 3,ffc22e91-825e-4921-a90e-30d15b7af37f,2022-11-17 18:07:04+00:00,"DASANI Purified Water Bottle, 20 fl oz",5.0,18.0,0.0
